Issue_ID,Business_Unit,Issue_Type,Risk_Level,Date_Opened,Days_Open,SLA_Limit,SLA_Status,Remediation_Status
ISSUE-18900,Credit Cards,AML,High,2026-08-19,3,15,On-Track,In Progress
ISSUE-40587,Wealth Management,Fraud,High,2026-06-25,58,15,Breached,Open
ISSUE-32290,Retail Banking,Transaction Monitoring,Medium,2026-06-27,56,30,Breached,In Progress
ISSUE-35438,Corporate Banking,Fraud,Low,2026-06-13,25,60,On-Track,Closed
ISSUE-82423,Credit Cards,Fraud,Low,2026-05-25,89,60,Breached,Open
ISSUE-42907,Investment Banking,Fraud,Medium,2026-08-09,13,30,On-Track,In Progress
ISSUE-14065,Corporate Banking,AML,High,2026-08-08,14,15,On-Track,Open
ISSUE-85810,Wealth Management,Fraud,Medium,2026-05-28,21,30,On-Track,Closed
ISSUE-88726,Credit Cards,Transaction Monitoring,High,2026-05-17,97,15,Breached,Open
ISSUE-25656,Credit Cards,Fraud,High,2026-06-02,7,15,On-Track,Closed
ISSUE-73168,Investment Banking,Sanctions,Low,2026-06-21,18,60,On-Track,Closed
ISSUE-70258,Wealth Management,KYC,Medium,2026-08-08,14,30,On-Track,Open
ISSUE-40818,Wealth Management,Transaction Monitoring,High,2026-04-28,116,15,Breached,Open
ISSUE-78505,Wealth Management,Fraud,Medium,2026-08-03,19,30,On-Track,In Progress
ISSUE-10103,Retail Banking,KYC,Low,2026-07-11,42,60,On-Track,Open
ISSUE-57715,Investment Banking,Transaction Monitoring,Low,2026-06-12,6,60,On-Track,Closed
ISSUE-46808,Investment Banking,Transaction Monitoring,High,2026-06-14,69,15,Breached,In Progress
ISSUE-98611,Investment Banking,AML,Medium,2026-06-27,56,30,Breached,Open
ISSUE-60545,Investment Banking,Sanctions,Low,2026-07-28,35,60,On-Track,Closed
ISSUE-12469,Wealth Management,Sanctions,Medium,2026-07-04,49,30,Breached,In Progress
ISSUE-54563,Investment Banking,KYC,Medium,2026-08-18,4,30,On-Track,In Progress
ISSUE-15444,Investment Banking,Sanctions,Low,2026-05-23,91,60,Breached,Open
ISSUE-68468,Retail Banking,Transaction Monitoring,Medium,2026-08-20,2,30,On-Track,In Progress
ISSUE-32446,Retail Banking,Fraud,Medium,2026-04-26,118,30,Breached,In Progress
ISSUE-35674,Retail Banking,AML,Medium,2026-08-13,9,30,On-Track,Open
ISSUE-40719,Retail Banking,Fraud,Medium,2026-06-28,55,30,Breached,Open
ISSUE-96125,Wealth Management,AML,Low,2026-07-31,39,60,On-Track,Closed
ISSUE-50357,Corporate Banking,Fraud,High,2026-07-16,37,15,Breached,Open
ISSUE-39384,Corporate Banking,KYC,High,2026-07-29,24,15,Breached,Open
ISSUE-41947,Investment Banking,AML,Low,2026-05-30,84,60,Breached,Open
ISSUE-27708,Corporate Banking,Transaction Monitoring,Medium,2026-05-08,106,30,Breached,In Progress
ISSUE-73742,Investment Banking,Fraud,Medium,2026-08-02,15,30,On-Track,Closed
ISSUE-86891,Credit Cards,KYC,Low,2026-04-28,116,60,Breached,Open
ISSUE-60150,Corporate Banking,Sanctions,High,2026-05-12,102,15,Breached,In Progress
ISSUE-64284,Credit Cards,Sanctions,High,2026-05-13,101,15,Breached,Open
ISSUE-40727,Corporate Banking,KYC,Medium,2026-08-03,19,30,On-Track,Open
ISSUE-73264,Corporate Banking,AML,Medium,2026-04-24,120,30,Breached,Open
ISSUE-51313,Credit Cards,Fraud,Medium,2026-06-23,60,30,Breached,Open
ISSUE-64585,Retail Banking,Sanctions,High,2026-07-07,46,15,Breached,In Progress
ISSUE-35225,Wealth Management,Transaction Monitoring,Low,2026-07-24,55,60,On-Track,Closed
ISSUE-38420,Credit Cards,Sanctions,High,2026-07-30,23,15,Breached,Open
ISSUE-93238,Corporate Banking,Transaction Monitoring,High,2026-06-24,14,15,On-Track,Closed
ISSUE-39452,Retail Banking,Sanctions,Low,2026-04-27,117,60,Breached,Open
ISSUE-76132,Credit Cards,KYC,Low,2026-07-23,30,60,On-Track,In Progress
ISSUE-55222,Retail Banking,KYC,Low,2026-05-26,88,60,Breached,Open
ISSUE-41582,Investment Banking,Fraud,Medium,2026-07-11,42,30,Breached,In Progress
ISSUE-45378,Credit Cards,Transaction Monitoring,Medium,2026-05-17,97,30,Breached,Open
ISSUE-60250,Retail Banking,Sanctions,High,2026-08-18,4,15,On-Track,In Progress
ISSUE-51336,Investment Banking,Transaction Monitoring,Medium,2026-08-03,19,30,On-Track,Open
ISSUE-69202,Credit Cards,KYC,High,2026-06-24,59,15,Breached,In Progress
ISSUE-22803,Wealth Management,KYC,Medium,2026-06-23,21,30,On-Track,Closed
ISSUE-29276,Retail Banking,Fraud,High,2026-07-18,35,15,Breached,In Progress
ISSUE-89340,Investment Banking,Transaction Monitoring,Medium,2026-05-04,12,30,On-Track,Closed
ISSUE-96831,Retail Banking,KYC,Medium,2026-06-02,26,30,On-Track,Closed
ISSUE-43846,Investment Banking,AML,High,2026-07-19,34,15,Breached,In Progress
ISSUE-93084,Retail Banking,Transaction Monitoring,Low,2026-06-16,67,60,Breached,Open
ISSUE-48514,Credit Cards,Fraud,Low,2026-06-01,82,60,Breached,In Progress
ISSUE-15004,Retail Banking,Transaction Monitoring,Medium,2026-05-13,29,30,On-Track,Closed
ISSUE-36565,Retail Banking,Transaction Monitoring,Medium,2026-06-04,79,30,Breached,Open
ISSUE-22300,Investment Banking,Fraud,High,2026-08-01,21,15,Breached,In Progress
ISSUE-52453,Wealth Management,Fraud,Medium,2026-06-14,7,30,On-Track,Closed
ISSUE-43445,Credit Cards,KYC,High,2026-07-02,51,15,Breached,Open
ISSUE-15990,Investment Banking,KYC,High,2026-05-05,109,15,Breached,In Progress
ISSUE-95044,Investment Banking,Fraud,Low,2026-08-15,7,60,On-Track,Open
ISSUE-55302,Retail Banking,Transaction Monitoring,Medium,2026-07-09,31,30,Breached,Closed
ISSUE-80886,Investment Banking,Sanctions,Medium,2026-08-08,14,30,On-Track,Open
ISSUE-61950,Investment Banking,Transaction Monitoring,Low,2026-08-13,21,60,On-Track,Closed
ISSUE-15859,Corporate Banking,AML,High,2026-05-06,108,15,Breached,Open
ISSUE-79552,Credit Cards,Transaction Monitoring,Medium,2026-06-01,82,30,Breached,In Progress
ISSUE-85451,Credit Cards,Sanctions,Low,2026-06-26,37,60,On-Track,Closed
ISSUE-25237,Corporate Banking,Sanctions,Medium,2026-07-20,33,30,Breached,Open
ISSUE-82167,Retail Banking,KYC,Medium,2026-07-14,39,30,Breached,In Progress
ISSUE-20426,Corporate Banking,AML,Medium,2026-05-13,101,30,Breached,In Progress
ISSUE-90721,Retail Banking,Transaction Monitoring,Medium,2026-04-30,5,30,On-Track,Closed
ISSUE-19702,Wealth Management,AML,Medium,2026-07-28,25,30,On-Track,In Progress
ISSUE-94676,Corporate Banking,Fraud,High,2026-07-14,39,15,Breached,In Progress
ISSUE-47540,Wealth Management,Sanctions,Low,2026-08-10,12,60,On-Track,Open
ISSUE-51308,Wealth Management,Transaction Monitoring,High,2026-07-03,50,15,Breached,Open
ISSUE-78923,Retail Banking,Sanctions,High,2026-06-11,72,15,Breached,In Progress
ISSUE-25953,Credit Cards,AML,High,2026-08-06,5,15,On-Track,Closed
ISSUE-59627,Credit Cards,AML,High,2026-04-26,118,15,Breached,Open
ISSUE-48214,Investment Banking,KYC,Low,2026-07-05,48,60,On-Track,Open
ISSUE-51074,Credit Cards,Fraud,Low,2026-07-30,23,60,On-Track,In Progress
ISSUE-18806,Wealth Management,AML,High,2026-05-16,98,15,Breached,In Progress
ISSUE-88018,Corporate Banking,Transaction Monitoring,Low,2026-04-24,65,60,Breached,Closed
ISSUE-14844,Credit Cards,AML,Low,2026-08-15,7,60,On-Track,In Progress
ISSUE-10960,Wealth Management,AML,Low,2026-05-19,4,60,On-Track,Closed
ISSUE-62741,Credit Cards,Fraud,Low,2026-05-01,113,60,Breached,In Progress
ISSUE-78213,Retail Banking,Sanctions,Medium,2026-06-06,77,30,Breached,In Progress
ISSUE-89241,Wealth Management,AML,Medium,2026-04-24,120,30,Breached,In Progress
ISSUE-44192,Wealth Management,Transaction Monitoring,Low,2026-06-07,76,60,Breached,In Progress
ISSUE-84077,Corporate Banking,KYC,High,2026-08-05,13,15,On-Track,Closed
ISSUE-22632,Wealth Management,Sanctions,High,2026-08-15,7,15,On-Track,In Progress
ISSUE-47962,Credit Cards,AML,Low,2026-06-15,68,60,Breached,In Progress
ISSUE-41085,Wealth Management,Sanctions,Low,2026-08-09,31,60,On-Track,Closed
ISSUE-58294,Credit Cards,Fraud,High,2026-08-04,2,15,On-Track,Closed
ISSUE-75753,Retail Banking,Fraud,Low,2026-06-03,80,60,Breached,Open
ISSUE-68021,Credit Cards,AML,Low,2026-04-25,23,60,On-Track,Closed
ISSUE-17406,Investment Banking,KYC,Medium,2026-05-03,111,30,Breached,In Progress
ISSUE-19036,Corporate Banking,Fraud,High,2026-05-13,10,15,On-Track,Closed
ISSUE-54721,Corporate Banking,Sanctions,Low,2026-05-08,106,60,Breached,In Progress
ISSUE-43708,Investment Banking,Fraud,Low,2026-05-21,93,60,Breached,Open
ISSUE-83207,Wealth Management,Fraud,High,2026-06-02,81,15,Breached,In Progress
ISSUE-86374,Wealth Management,AML,Medium,2026-05-27,87,30,Breached,In Progress
ISSUE-99114,Corporate Banking,KYC,High,2026-04-27,9,15,On-Track,Closed
ISSUE-58365,Corporate Banking,Fraud,Low,2026-05-12,102,60,Breached,In Progress
ISSUE-34847,Credit Cards,Sanctions,High,2026-06-02,5,15,On-Track,Closed
ISSUE-30782,Retail Banking,Transaction Monitoring,Medium,2026-07-30,23,30,On-Track,In Progress
ISSUE-89013,Wealth Management,Fraud,Low,2026-07-02,51,60,On-Track,Open
ISSUE-24654,Retail Banking,Fraud,High,2026-07-13,7,15,On-Track,Closed
ISSUE-67715,Investment Banking,Transaction Monitoring,Low,2026-06-13,70,60,Breached,Open
ISSUE-75192,Investment Banking,Sanctions,Low,2026-06-08,75,60,Breached,In Progress
ISSUE-37352,Corporate Banking,Sanctions,Medium,2026-07-24,29,30,On-Track,In Progress
ISSUE-17148,Credit Cards,Transaction Monitoring,High,2026-07-07,46,15,Breached,Open
ISSUE-13150,Retail Banking,Sanctions,Low,2026-07-14,39,60,On-Track,Open
ISSUE-48106,Corporate Banking,Transaction Monitoring,Medium,2026-04-24,120,30,Breached,Open
ISSUE-34321,Retail Banking,Sanctions,Medium,2026-06-11,28,30,On-Track,Closed
ISSUE-37036,Wealth Management,AML,High,2026-08-19,3,15,On-Track,In Progress
ISSUE-34870,Retail Banking,AML,Low,2026-05-07,6,60,On-Track,Closed
ISSUE-17070,Retail Banking,Sanctions,Low,2026-05-22,92,60,Breached,In Progress
ISSUE-23452,Credit Cards,Fraud,High,2026-05-02,112,15,Breached,Open
ISSUE-70590,Retail Banking,Transaction Monitoring,High,2026-05-03,111,15,Breached,In Progress
ISSUE-13132,Wealth Management,Fraud,Low,2026-05-07,107,60,Breached,Open
ISSUE-26133,Corporate Banking,Transaction Monitoring,Low,2026-05-28,58,60,On-Track,Closed
ISSUE-94815,Credit Cards,AML,High,2026-07-12,3,15,On-Track,Closed
ISSUE-65071,Credit Cards,KYC,Medium,2026-08-08,14,30,On-Track,Open
ISSUE-55917,Retail Banking,KYC,High,2026-06-29,14,15,On-Track,Closed
ISSUE-30700,Credit Cards,Sanctions,Medium,2026-07-28,29,30,On-Track,Closed
ISSUE-14289,Corporate Banking,KYC,Medium,2026-06-22,61,30,Breached,Open
ISSUE-57314,Wealth Management,AML,Low,2026-07-23,29,60,On-Track,Closed
ISSUE-97884,Corporate Banking,Transaction Monitoring,Medium,2026-07-02,51,30,Breached,Open
ISSUE-42791,Retail Banking,AML,Low,2026-07-31,22,60,On-Track,In Progress
ISSUE-56945,Credit Cards,Sanctions,High,2026-05-19,95,15,Breached,In Progress
ISSUE-15599,Credit Cards,Transaction Monitoring,Low,2026-06-15,19,60,On-Track,Closed
ISSUE-25524,Retail Banking,KYC,High,2026-07-04,49,15,Breached,In Progress
ISSUE-78063,Investment Banking,Fraud,Medium,2026-07-05,48,30,Breached,In Progress
ISSUE-74716,Corporate Banking,Fraud,High,2026-06-17,66,15,Breached,Open
ISSUE-79741,Retail Banking,Fraud,High,2026-06-11,72,15,Breached,In Progress
ISSUE-91186,Wealth Management,AML,Low,2026-06-10,73,60,Breached,In Progress
ISSUE-64988,Corporate Banking,KYC,Medium,2026-07-29,24,30,On-Track,Open
ISSUE-24364,Corporate Banking,Sanctions,Medium,2026-05-15,9,30,On-Track,Closed
ISSUE-54464,Wealth Management,Transaction Monitoring,Low,2026-06-05,78,60,Breached,Open
ISSUE-93180,Corporate Banking,Fraud,Low,2026-06-11,72,60,Breached,In Progress
ISSUE-63915,Retail Banking,Fraud,Medium,2026-06-06,77,30,Breached,Open
ISSUE-35383,Credit Cards,Sanctions,Medium,2026-06-27,56,30,Breached,In Progress
ISSUE-30226,Investment Banking,Sanctions,Low,2026-06-14,34,60,On-Track,Closed
ISSUE-54662,Credit Cards,KYC,Medium,2026-07-19,34,30,Breached,In Progress
ISSUE-56755,Credit Cards,AML,Medium,2026-06-20,63,30,Breached,Open
ISSUE-69804,Investment Banking,KYC,High,2026-08-16,6,15,On-Track,In Progress
ISSUE-88229,Investment Banking,Sanctions,Low,2026-06-01,82,60,Breached,Open
ISSUE-55702,Retail Banking,Sanctions,High,2026-06-10,73,15,Breached,Open
ISSUE-99083,Credit Cards,KYC,Medium,2026-07-30,23,30,On-Track,Open
ISSUE-28378,Credit Cards,Fraud,Medium,2026-04-30,114,30,Breached,In Progress
ISSUE-58047,Credit Cards,AML,High,2026-05-06,10,15,On-Track,Closed
ISSUE-12861,Investment Banking,KYC,Medium,2026-08-20,2,30,On-Track,Open
ISSUE-29362,Wealth Management,KYC,High,2026-08-04,18,15,Breached,In Progress
ISSUE-24105,Investment Banking,Transaction Monitoring,High,2026-07-04,49,15,Breached,In Progress
ISSUE-16758,Retail Banking,Sanctions,Low,2026-07-07,46,60,On-Track,In Progress
ISSUE-76099,Wealth Management,Transaction Monitoring,High,2026-06-15,68,15,Breached,In Progress
ISSUE-13624,Investment Banking,Sanctions,High,2026-06-26,57,15,Breached,Open
ISSUE-87901,Credit Cards,Fraud,Medium,2026-06-05,78,30,Breached,In Progress
ISSUE-24569,Credit Cards,KYC,Medium,2026-07-02,51,30,Breached,Open
ISSUE-82351,Wealth Management,Fraud,Medium,2026-05-22,92,30,Breached,Open
ISSUE-74270,Credit Cards,AML,High,2026-05-25,16,15,Breached,Closed
ISSUE-47518,Wealth Management,Transaction Monitoring,Medium,2026-06-21,62,30,Breached,In Progress
ISSUE-25210,Corporate Banking,Transaction Monitoring,Low,2026-07-08,45,60,On-Track,Open
ISSUE-36679,Retail Banking,KYC,Medium,2026-06-11,72,30,Breached,In Progress
ISSUE-11780,Corporate Banking,Sanctions,Low,2026-08-03,19,60,On-Track,Open
ISSUE-34400,Wealth Management,Fraud,Medium,2026-05-02,34,30,Breached,Closed
ISSUE-37052,Wealth Management,Sanctions,Medium,2026-08-05,28,30,On-Track,Closed
ISSUE-25818,Retail Banking,Sanctions,High,2026-04-27,117,15,Breached,Open
ISSUE-30651,Corporate Banking,Sanctions,High,2026-08-17,5,15,On-Track,In Progress
ISSUE-63901,Wealth Management,AML,Low,2026-07-25,27,60,On-Track,Closed
ISSUE-48977,Credit Cards,AML,High,2026-08-11,11,15,On-Track,Open
